campaign_id,channel,users_acquired,total_cost,orders_placed,revenue,users_retained_after_30_days
CMP_001,Referral,2162,24044.73,2981,31728.38,3655
CMP_002,Influencer,3984,49187.73,1766,16726.58,870
CMP_003,Email,164,20542.4,3089,67105.6,3597
CMP_004,Influencer,2668,41005.16,3790,104832.49,1410
CMP_005,Influencer,2127,40118.91,234,13438.07,163
CMP_006,Paid Social,2795,8385.16,2617,137705.99,904
CMP_007,Email,1595,25901.74,1489,69141.07,3160
CMP_008,Email,491,35094.83,864,39769.17,3190
CMP_009,Email,4614,43059.58,3255,18611.63,415
CMP_010,Influencer,4574,16971.99,3544,31515.57,3116
CMP_011,Referral,3661,11791.81,3962,140519.03,3015
CMP_012,Email,2378,35846.33,325,97549.24,2958
CMP_013,Affiliate,3199,40665.55,3327,79920.96,1512
CMP_014,Influencer,300,18084.63,3190,100281.14,3575
CMP_015,Paid Social,4975,5712.65,1580,68172.57,3656
CMP_016,Referral,3204,47085.64,1785,110855.7,3242
CMP_017,Affiliate,4698,20481.03,2886,11918.84,1187
CMP_018,Affiliate,2554,26369.82,617,87075.4,2636
CMP_019,Paid Social,3745,42047.8,1970,28003.73,1082
CMP_020,Referral,904,34108.82,1921,22423.87,2176
CMP_021,Influencer,2831,37025.59,1000,54572.55,3784
CMP_022,Paid Search,2873,11244.51,2535,18310.86,1085
CMP_023,Referral,1670,27530.95,604,18652.76,1229
CMP_024,Paid Social,2790,35093.44,2955,50154.93,3002
CMP_025,Affiliate,3940,12198.95,1609,147029.03,2465
CMP_026,Influencer,1128,9572.79,3030,30422.89,3314
CMP_027,Referral,602,49126.25,3976,7488.36,653
CMP_028,Paid Search,4593,26315.16,115,115687.84,1176
CMP_029,Paid Search,970,13780.63,764,122002.38,3254
CMP_030,Email,4588,49816.43,99,55214.13,1258
CMP_031,Email,306,48305.55,2448,72377.7,752
CMP_032,Paid Social,1584,28356.38,3927,99217.18,254
CMP_033,Referral,963,44249.18,2639,11968.54,3934
CMP_034,Referral,2890,10246.65,479,142626.13,2725
CMP_035,Affiliate,663,14664.7,2781,133568.66,770
CMP_036,Affiliate,4291,35317.53,1051,42829.58,2655
CMP_037,Affiliate,1857,42486.4,1986,7219.16,3100
CMP_038,Email,1778,42959.89,2598,140348.26,3165
CMP_039,Referral,3342,20820.9,1246,77650.78,973
CMP_040,Referral,4736,44500.73,1195,83209.73,2559
CMP_041,Paid Search,1159,42695.49,3505,104174.75,2980
CMP_042,Email,1822,46846.11,913,94298.42,3344
CMP_043,Influencer,3414,39481.69,1903,141864.28,3321
CMP_044,Email,3257,33780.42,2854,141916.48,1562
CMP_045,Influencer,2725,29453.64,2062,130743.85,1217
CMP_046,Paid Search,2829,19241.86,933,97278.52,1696
CMP_047,Paid Social,1697,47066.54,130,121137.65,1211
CMP_048,Referral,3160,48709.53,3816,103189.41,2237
CMP_049,Paid Search,2793,14912.13,3849,88138.22,1436
CMP_050,Referral,4991,15962.83,654,23632.55,3013
CMP_051,Affiliate,3727,24795.07,3341,122624.61,2862
CMP_052,Paid Social,1463,22972.78,1228,123992.72,2701
CMP_053,Paid Social,2081,49728.42,2277,95761.25,1237
CMP_054,Paid Search,1763,9620.34,2441,123961.89,1560
CMP_055,Paid Social,1629,1885.69,2697,99465.29,2096
CMP_056,Influencer,2138,25200.79,3493,34969.23,3256
CMP_057,Paid Social,3402,9762.31,2432,44724.36,1465
CMP_058,Referral,2337,18956.97,1795,36115.42,2406
CMP_059,Referral,1406,37464.36,761,59702.57,3739
CMP_060,Referral,4129,36326.06,917,10649.65,1539
CMP_061,Referral,2775,16094.98,3934,94646.81,1408
CMP_062,Influencer,1382,27584.47,1157,53800.36,1876
CMP_063,Email,809,25931.89,3130,100079.78,1385
CMP_064,Affiliate,4844,32180.3,2571,60882.51,519
CMP_065,Paid Search,4513,13272.63,2740,103833.98,1700
CMP_066,Referral,3848,29903.67,3120,54390.56,530
CMP_067,Paid Social,4879,48965.75,2391,42800.71,3418
CMP_068,Referral,763,24850.37,3204,76925.43,236
CMP_069,Paid Social,2098,45398.84,1675,105469.1,1344
CMP_070,Affiliate,3545,22285.32,3131,55508.81,1175
CMP_071,Affiliate,3843,18153.84,3771,140813.98,1847
CMP_072,Affiliate,1595,32610.06,84,10682.02,3161
CMP_073,Paid Social,3404,33777.28,1206,65602.17,3343
CMP_074,Referral,3863,43344.21,1299,145299.18,3506
CMP_075,Affiliate,1953,12279.08,853,84455.92,1830
CMP_076,Influencer,4759,25460.48,956,66403.29,2512
CMP_077,Paid Social,1391,29028.21,1071,87435.44,2943
CMP_078,Paid Social,3681,38659.15,3011,88509.06,1225
CMP_079,Referral,3557,3136.58,3501,111088.92,2234
CMP_080,Paid Social,1736,49732.98,126,23515.01,110
CMP_081,Paid Social,3796,24027.28,2994,41252.39,733
CMP_082,Affiliate,3099,14698.46,2950,89178.88,1901
CMP_083,Referral,3252,44291.21,3063,130731.91,3622
CMP_084,Affiliate,798,37638.22,3971,86470.67,58
CMP_085,Affiliate,2260,47700.52,2783,39596.54,3217
CMP_086,Referral,4197,17206.76,348,103577.49,3542
CMP_087,Paid Search,4837,28085.48,449,112286.77,192
CMP_088,Affiliate,954,29042.33,715,39544.24,672
CMP_089,Influencer,3574,49036.25,1209,59770.69,773
CMP_090,Influencer,1807,4691.97,1773,82477.48,1263
CMP_091,Paid Social,2877,15979.15,1762,77001.37,3729
CMP_092,Influencer,1833,10354.64,736,61494.62,1101
CMP_093,Paid Social,3610,14155.27,199,48157.1,1703
CMP_094,Paid Search,302,24778.71,910,19497.81,2543
CMP_095,Referral,3355,19261.66,1890,12755.37,475
CMP_096,Referral,4318,20339.88,3755,143988.52,848
CMP_097,Referral,4596,42366.44,1161,127835.76,914
CMP_098,Influencer,866,46570.82,2054,56461.25,1404
CMP_099,Paid Search,4489,4450.39,1449,143736.13,1978
CMP_100,Influencer,2427,11237.02,820,103131.64,3092
